Rh,0.002670673,0.455850442,0.141545652,0.397095643,0.00166917,0.001168419,0,0,0,0,0
Pd,0.018729923,0.009834445,0.961255251,0.004101804,0.005979738,9.88E-05,0,0,0,0,0
Ag,0.000163733,0.988784282,0.006631191,0.004420794,0,0,0,0,0,0,0
Cd,0,0.000421977,0.998818466,0.000759558,0,0,0,0,0,0,0
In,0,0.056062581,0.024771838,0.91916558,0,0,0,0,0,0,0
Sn,0.00222187,0.00095223,0.194730995,0.001110935,0.800666561,0.000158705,0.000158705,0,0,0,0
Cs,0,0.986486486,0.013513514,0,0,0,0,0,0,0,0
Ba,0,0,0.998236332,0.001763668,0,0,0,0,0,0,0
Hf,0,0,0.015473888,0.025145068,0.959381044,0,0,0,0,0,0
Ta,0.003726708,0.016149068,0.01242236,0.068322981,0.116770186,0.782608696,0,0,0,0,0
W,0.128280743,0.003538779,0.131229726,0.027720436,0.146564435,0.130934827,0.431731053,0,0,0,0
Re,0.001812324,0.316149819,0.044905356,0.124043496,0.065243657,0.364679823,0.017921869,0.065243657,0,0,0
Os,0.009817672,0.005610098,0.460729313,0.140953717,0.204067321,0.016830295,0.152173913,0.000701262,0.00911641,0,0
Ir,0.001902045,0.201854494,0.027104137,0.752258678,0.011650024,0.005230623,0,0,0,0,0
Pt,0.017449918,0.005606652,0.844021671,0.01870984,0.114085927,0,0.000125992,0,0,0,0
Au,0.001029204,0.731892448,0.015824006,0.251125691,0.00012865,0,0,0,0,0,0
Hg,0.00251004,0.013805221,0.983433735,0.000251004,0,0,0,0,0,0,0
Tl,0.001342282,0.616107383,0.013422819,0.369127517,0,0,0,0,0,0,0
Pb,0,0.000545852,0.964792576,0.000272926,0.034388646,0,0,0,0,0,0
Bi,0,0,0,1,0,0,0,0,0,0,0
Po,0,0,0,0,0,0,0,0,0,0,0
Fr,0,0,0,0,0,0,0,0,0,0,0
Ra,0,0,0,0,0,0,0,0,0,0,0
Rf,0,0,0,0,0,0,0,0,0,0,0
Db,0,0,0,0,0,0,0,0,0,0,0
Sg,0,0,0,0,0,0,0,0,0,0,0
Bh,0,0,0,0,0,0,0,0,0,0,0
Hs,0,0,0,0,0,0,0,0,0,0,0
Mt,0,0,0,0,0,0,0,0,0,0,0
Ds,0,0,0,0,0,0,0,0,0,0,0
Rg,0,0,0,0,0,0,0,0,0,0,0
Cn,0,0,0,0,0,0,0,0,0,0,0
Nh,0,0,0,0,0,0,0,0,0,0,0
Fl,0,0,0,0,0,0,0,0,0,0,0
Mc,0,0,0,0,0,0,0,0,0,0,0
Lv,0,0,0,0,0,0,0,0,0,0,0
La,0,0,0.002631579,0.996842105,0.000526316,0,0,0,0,0,0
Ce,0,0.000666223,0.005996003,0.742838108,0.250499667,0,0,0,0,0,0
Pr,0,0,0.002636204,0.993848858,0.003514938,0,0,0,0,0,0
Nd,0,0,0.005083884,0.994916116,0,0,0,0,0,0,0
Pm,0,0,0,1,0,0,0,0,0,0,0
Sm,0,0,0.153056235,0.846943765,0,0,0,0,0,0,0
Eu,0,0,0.081716037,0.918283963,0,0,0,0,0,0,0
Gd,0.000430663,0,0.005167959,0.994401378,0,0,0,0,0,0,0
Tb,0,0,0.132275132,0.866717057,0.001007811,0,0,0,0,0,0
Dy,0,0,0.007676768,0.992323232,0,0,0,0,0,0,0
Ho,0.001218027,0,0.007308161,0.990255786,0.001218027,0,0,0,0,0,0
Er,0,0,0.099644793,0.899233502,0.001121705,0,0,0,0,0,0
Tm,0,0,0.112903226,0.887096774,0,0,0,0,0,0,0
Yb,0,0,0.268343816,0.731656184,0,0,0,0,0,0,0
Lu,0,0,0.003663004,0.996336996,0,0,0,0,0,0,0
Ac,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0
Th,0,0,0.008896797,0.019572954,0.96975089,0,0.001779359,0,0,0,0
Pa,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0
U,0.000308452,0,0.003701419,0.098704503,0.333127699,0.064466379,0.499691548,0,0,0,0
Np,0,0,0.004048583,0.04048583,0.246963563,0.453441296,0.251012146,0.004048583,0,0,0
Pu,0,0,0,0.231292517,0.510204082,0.040816327,0.217687075,0,0,0,0
Am,0,0,0,0.857142857,0,0.057142857,0.085714286,0,0,0,0
Cm,0,0,0,1,0,0,0,0,0,0,0
Bk,0,0,0,1,0,0,0,0,0,0,0
Cf,0,0,0,1,0,0,0,0,0,0,0
Es,0,0,0,0,0,0,0,0,0,0,0
Fm,0,0,0,0,0,0,0,0,0,0,0
Md,0,0,0,0,0,0,0,0,0,0,0
No,0,0,0,0,0,0,0,0,0,0,0
Lr,0,0,0,0,0,0,0,0,0,0,0
Ge,0.00867052,0.012524085,0.512524085,0.002890173,0.462427746,0,0.000963391,0,0,0,0
As,0,0.021459227,0,0.811158798,0,0.167381974,0,0,0,0,0
Se,0,0.023809524,0.619047619,0,0.325396825,0,0.031746032,0,0,0,0
Sb,0,0.002742732,0,0.541963796,0.000548546,0.45419638,0.000548546,0,0,0,0
Te,0,0.001194743,0.338112306,0.001194743,0.628434886,0,0.031063321,0,0,0,0
